date,facility_id,facility_name,country,region,storage_site_type,co2_emitted_tonnes,co2_captured_tonnes,co2_stored_tonnes,capture_efficiency_percent,storage_integrity_percent,anomaly_flag,notes
2021-03-09,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15492.62,14577.97,14602.19,94.1,100.166,False,
2021-03-10,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15126.31,14709.55,14611.6,97.24,99.334,False,
2021-03-11,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13996.21,12107.77,12049.74,86.51,99.521,False,
2021-03-12,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15312.08,13831.89,13815.47,90.33,99.881,False,
2021-03-13,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13820.18,13806.36,13734.62,99.9,99.48,False,
2021-03-14,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13374.8,12510.43,12456.48,93.54,99.569,False,
2021-03-15,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15334.12,13129.59,13103.67,85.62,99.803,False,
2021-03-16,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15704.99,14125.26,14071.0,89.94,99.616,False,
2021-03-17,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16162.86,13865.51,13829.3,85.79,99.739,False,
2021-03-18,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14039.36,12138.74,12072.43,86.46,99.454,False,
2021-03-19,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14040.98,13849.01,13764.8,98.63,99.392,False,
2021-03-20,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14970.58,13866.74,13851.58,92.63,99.891,False,
2021-03-21,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14610.05,12723.54,12668.66,87.09,99.569,False,
2021-03-22,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14495.66,12980.07,12967.47,89.54,99.903,False,
2021-03-23,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15165.41,12927.89,12863.89,85.25,99.505,False,
2021-03-24,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14750.36,14496.93,14368.96,98.28,99.117,False,
2021-03-25,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15117.42,14027.65,13923.17,92.79,99.255,False,
2021-03-26,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,17212.41,15183.71,15160.53,88.21,99.847,False,
2021-03-27,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13062.67,11958.91,11921.99,91.55,99.691,False,
2021-03-28,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13601.31,13424.54,13367.81,98.7,99.577,False,
2021-03-29,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16389.18,16135.3,16116.69,98.45,99.885,False,
2021-03-30,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12650.87,12638.22,12602.49,99.9,99.717,False,
2021-03-31,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14988.73,13625.7,13600.71,90.91,99.817,False,
2021-04-01,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14669.08,14111.26,14096.29,96.2,99.894,False,
2021-04-02,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12787.53,12463.38,12418.43,97.47,99.639,False,
2021-04-03,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12863.65,11310.26,11279.42,87.92,99.727,False,
2021-04-04,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,17064.04,15820.47,15734.1,92.71,99.454,False,
2021-04-05,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14369.0,12632.48,12550.78,87.91,99.353,False,
2021-04-06,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15688.35,13373.77,13289.08,85.25,99.367,False,
2021-04-07,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14340.31,13360.92,13353.71,93.17,99.946,False,
2021-04-08,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16217.09,15809.97,15740.57,97.49,99.561,False,
2021-04-09,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15098.9,13907.63,13832.98,92.11,99.463,False,
2021-04-10,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12955.75,11012.23,10974.09,85.0,99.654,False,
2021-04-11,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14565.47,13929.65,13920.46,95.63,99.934,False,
2021-04-12,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14076.12,12194.71,12190.77,86.63,99.968,False,
2021-04-13,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14501.17,12609.72,12582.33,86.96,99.783,False,
2021-04-14,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11949.39,10286.59,10228.84,86.08,99.439,False,
2021-04-15,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14480.1,13968.8,13971.72,96.47,100.021,False,
2021-04-16,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15279.96,14171.55,14156.42,92.75,99.893,False,
2021-04-17,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16514.41,14083.96,14019.82,85.28,99.545,False,
2021-04-18,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13431.54,12282.75,12255.26,91.45,99.776,False,
2021-04-19,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12700.92,11317.47,11301.18,89.11,99.856,False,
2021-04-20,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14507.29,12663.82,12651.82,87.29,99.905,False,
2021-04-21,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16515.46,16073.61,16083.6,97.32,100.062,False,
2021-04-22,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14535.45,13527.96,13436.69,93.07,99.325,False,
2021-04-23,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13508.96,12561.03,12608.03,92.98,100.374,False,
2021-04-24,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15606.06,14579.54,14560.81,93.42,99.872,False,
2021-04-25,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13744.52,11987.71,11993.53,87.22,100.049,False,
2021-04-26,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13852.95,11589.46,11542.48,83.66,99.595,False,
2021-04-27,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14192.94,13930.34,13892.56,98.15,99.729,False,
2021-04-28,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14770.16,12998.65,12964.56,88.01,99.738,False,
2021-04-29,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12509.35,12096.67,12092.96,96.7,99.969,False,
2021-04-30,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13264.62,12190.42,12177.26,91.9,99.892,False,
2021-05-01,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15139.01,12955.47,12821.36,85.58,98.965,False,
2021-05-02,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12531.2,11187.71,11139.82,89.28,99.572,False,
2021-05-03,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14975.51,13969.07,14015.32,93.28,100.331,False,
2021-05-04,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13162.22,12795.48,12766.46,97.21,99.773,False,
2021-05-05,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14427.04,13442.27,13420.22,93.17,99.836,False,
2021-05-06,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14437.74,12648.2,12635.01,87.61,99.896,False,
2021-05-07,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14618.0,13489.26,13473.22,92.28,99.881,False,
2021-05-08,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15346.97,13918.33,13983.62,90.69,100.469,False,
2021-05-09,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14264.69,12844.43,12827.95,90.04,99.872,False,
2021-05-10,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15157.82,14742.35,14700.17,97.26,99.714,False,
2021-05-11,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12519.02,11037.17,10998.23,88.16,99.647,False,
2021-05-12,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15589.65,15195.87,15147.07,97.47,99.679,False,
2021-05-13,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15091.35,12771.83,12688.44,84.63,99.347,False,
2021-05-14,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14581.34,13305.06,13296.2,91.25,99.933,False,
2021-05-15,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14956.17,14136.33,14049.28,94.52,99.384,False,
2021-05-16,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15212.69,13325.21,13319.06,87.59,99.954,False,
2021-05-17,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12051.65,11231.55,11203.01,93.2,99.746,False,
2021-05-18,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16990.92,14789.7,14733.93,87.04,99.623,False,
2021-05-19,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13112.96,12303.58,12328.49,93.83,100.202,False,
2021-05-20,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16079.92,15831.99,15763.22,98.46,99.566,False,
2021-05-21,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14005.64,13258.82,13255.69,94.67,99.976,False,
2021-05-22,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13766.98,13421.93,13488.53,97.49,100.496,False,
2021-05-23,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12453.97,11756.38,11785.87,94.4,100.251,False,
2021-05-24,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13569.17,11810.03,11833.15,87.04,100.196,False,
2021-05-25,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13573.52,12774.68,12788.11,94.11,100.105,False,
2021-05-26,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14369.75,12409.22,12390.52,86.36,99.849,False,
2021-05-27,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,16604.04,14284.76,14289.73,86.03,100.035,False,
2021-05-28,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14480.08,13110.91,13128.23,90.54,100.132,False,
2021-05-29,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13428.58,12637.32,12690.84,94.11,100.424,False,
2021-05-30,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12319.62,10784.69,10771.37,87.54,99.876,False,
2021-05-31,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12109.1,11329.3,11318.94,93.56,99.909,False,
2021-06-01,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13538.01,12900.69,12873.73,95.29,99.791,False,
2021-06-02,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14365.77,12089.77,12062.01,84.16,99.77,False,
2021-06-03,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13407.9,12618.73,12602.17,94.11,99.869,False,
2021-06-04,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14285.17,13925.54,13828.91,97.48,99.306,False,
2021-06-05,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12397.01,10857.41,10778.21,87.58,99.271,False,
2021-06-06,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12887.5,11574.35,11505.51,89.81,99.405,False,
2021-06-07,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11534.67,10992.18,11041.75,95.3,100.451,False,
2021-06-08,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13608.27,13060.61,12996.41,95.98,99.508,False,
2021-06-09,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13315.1,12425.76,12375.85,93.32,99.598,False,
2021-06-10,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13495.7,13372.87,13397.81,99.09,100.187,False,
2021-06-11,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13386.12,11195.76,11154.83,83.64,99.634,False,
2021-06-12,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14334.52,12681.13,12594.12,88.47,99.314,False,
2021-06-13,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14868.52,12992.82,12935.4,87.38,99.558,False,
2021-06-14,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12515.11,10942.86,10932.4,87.44,99.904,False,
2021-06-15,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13346.73,11616.13,11620.73,87.03,100.04,False,
2021-06-16,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12079.39,11386.82,11292.95,94.27,99.176,False,
2021-06-17,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12748.01,12267.39,12298.76,96.23,100.256,False,
2021-06-18,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,15698.95,14089.88,14076.59,89.75,99.906,False,
2021-06-19,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13246.11,12919.43,12895.42,97.53,99.814,False,
2021-06-20,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13691.26,13147.59,13164.2,96.03,100.126,False,
2021-06-21,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13881.85,12343.01,12326.7,88.91,99.868,False,
2021-06-22,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13276.28,12918.58,12842.89,97.31,99.414,False,
2021-06-23,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13939.35,12140.29,12118.11,87.09,99.817,False,
2021-06-24,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13251.01,11637.84,11585.98,87.83,99.554,False,
2021-06-25,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12910.51,12337.18,12320.4,95.56,99.864,False,
2021-06-26,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12696.36,12465.43,12457.9,98.18,99.94,False,
2021-06-27,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13600.2,11442.04,11401.96,84.13,99.65,False,
2021-06-28,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12887.35,11527.66,11513.63,89.45,99.878,False,
2021-06-29,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12761.42,11762.46,11702.11,92.17,99.487,False,
2021-06-30,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12856.72,11476.88,11429.36,89.27,99.586,False,
2021-07-01,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12597.69,12585.09,12585.72,99.9,100.005,False,
2021-07-02,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,14814.47,14415.29,14459.19,97.31,100.305,False,
2021-07-03,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,10720.62,9451.5,9455.42,88.16,100.041,False,
2021-07-04,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11439.28,9705.38,9742.27,84.84,100.38,False,
2021-07-05,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11203.32,9858.8,9863.5,88.0,100.048,False,
2021-07-06,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12314.96,11646.17,11582.1,94.57,99.45,False,
2021-07-07,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13925.26,12230.16,12227.68,87.83,99.98,False,
2021-07-08,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11662.79,10149.86,10140.93,87.03,99.912,False,
2021-07-09,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11101.98,10595.28,10586.06,95.44,99.913,False,
2021-07-10,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12413.53,11430.62,11436.56,92.08,100.052,False,
2021-07-11,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12338.71,11030.15,10972.23,89.39,99.475,False,
2021-07-12,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11969.49,10725.34,10675.45,89.61,99.535,False,
2021-07-13,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11183.97,9715.5,9726.99,86.87,100.118,False,
2021-07-14,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12052.05,11227.32,11164.26,93.16,99.438,False,
2021-07-15,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12361.64,11520.04,11481.01,93.19,99.661,False,
2021-07-16,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12561.75,12366.06,12326.28,98.44,99.678,False,
2021-07-17,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12642.75,12152.44,12072.3,96.12,99.34,False,
2021-07-18,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11763.2,10587.58,10588.31,90.01,100.007,False,
2021-07-19,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12357.34,11966.88,11942.82,96.84,99.799,False,
2021-07-20,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12032.1,11335.17,11286.88,94.21,99.574,False,
2021-07-21,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,10539.07,10178.04,10169.94,96.57,99.92,False,
2021-07-22,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11690.2,11041.64,11013.74,94.45,99.747,False,
2021-07-23,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12128.7,10794.66,10767.42,89.0,99.748,False,
2021-07-24,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12829.46,10794.71,10761.24,84.14,99.69,False,
2021-07-25,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11184.14,9527.74,9566.86,85.19,100.411,False,
2021-07-26,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11123.77,10105.8,10122.88,90.85,100.169,False,
2021-07-27,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11441.57,11004.53,10939.26,96.18,99.407,False,
2021-07-28,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,12174.64,11077.32,11095.95,90.99,100.168,False,
2021-07-29,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,13071.52,13058.45,13040.43,99.9,99.862,False,
2021-07-30,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,10353.66,10247.74,10211.7,98.98,99.648,False,
2021-07-31,F-A01,Alpha CCS Plant,USA,Texas,Saline Aquifer,11446.01,11251.74,11204.85,98.3,99.583,False,
